Date,X,Y
2019,0,-2
2019,5,129
2019,10,107
2019,15,101
2019,17,76
2019,20,63
2019,23,53
2019,26,0
2019,28,-18
2019,31,-30
2019,33,-60
2019,38,-100
2019,45,-110
