Date,X,Y
2022,0,94
2022,5,74
2022,10,86
2022,15,60
2022,20,116
2022,25,148
2022,30,121
2022,35,118
2022,40,140
2022,45,61
2022,50,22
2022,55,4
2022,60,0
2022,65,-35
2022,70,-158
2022,75,-163
2022,80,-99
2022,85,-112
2022,90,-88
2022,95,-132
